"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"Andrés Martínez","302404410-8","andrésmartínez@correo.com","Reflejo de la Tecnología en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Responsabilidad Limitada","Renaico","Autocontrol*Cambio climático*Naturaleza","ACCIÓN POR EL CLIMA*REDUCCIÓN DE LAS DESIGUALDADES*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","116688619-9","gabrielgutierrez@correo.com","Viaje y Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Comanditaria","Lonquimay","Altruismo*Motivación*Comunicación","FIN DE LA POBREZA*PRODUCCIÓN Y CONSUMO RESPONSABLES*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","747617644-7","maríagarcía@correo.com","Reflejo de la Tecnología en Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Multinacional","Gorbea","Equilibrio*Alegría*Esperanza","IGUALDAD DE GÉNERO*FIN DE LA POBREZA*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","245746114-9","luisgonzález@correo.com","Armonía en Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Pública","Victoria","Amor*Armonía*Humildad","PRODUCCIÓN Y CONSUMO RESPONSABLES*ACCIÓN POR EL CLIMA*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","359966321-5","juanpérez@correo.com","Conocimiento para Suplir Necesidades Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Sociedad Anónima","Ercilla","Justicia*Conexión*Paz","EDUCACIÓN DE CALIDAD*PRODUCCIÓN Y CONSUMO RESPONSABLES*VIDA DE ECOSISTEMAS TERRESTRES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","1689116-4","gabrielgutierrez@correo.com","Cultura y Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Colectiva","Curacautín","Servicio*Oportunidad*Gratitud","FIN DE LA POBREZA*HAMBRE CERO*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","842532136-0","analópez@correo.com","Viaje en Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Artesanal","Villarrica","Resiliencia*Perseverancia*Empoderamiento","EDUCACIÓN DE CALIDAD*HAMBRE CERO*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","480525354-1","juanpérez@correo.com","Cultura y Cobertura de Requisitos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Transnacional","Curacautín","Oportunidad*Viaje*Compasión","EDUCACIÓN DE CALIDAD*PAZ*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","361434111-8","gabrielgutierrez@correo.com","Exploración en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Colectiva","Toltén","Serenidad*Comunicación*Gratitud","REDUCCIÓN DE LAS DESIGUALDADES*CIUDADES Y COMUNIDADES SOSTENIBLES*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","80659905-5","sofíarodríguez@correo.com","Exploración en Satisfacción de Demandas Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Responsabilidad Limitada","Lautaro","Libertad*Sonrisa*Tolerancia","FIN DE LA POBREZA*ALIANZAS PARA LOGRAR LOS OBJETIVOS*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","106994457-7","maríagarcía@correo.com","Innovación para la Atención de Demandas Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Transnacional","Gorbea","Cambio climático*Comunidad*Ecología","EDUCACIÓN DE CALIDAD*HAMBRE CERO*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","254207083-8","luisgonzález@correo.com","Reflejo de la Tecnología en Atendiendo Necesidades Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Multinacional","Lonquimay","Trabajo*Entusiasmo*Armonía","ACCIÓN POR EL CLIMA*FIN DE LA POBREZA*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","826070330-8","diegomartínez@correo.com","Viaje en Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Educativa","Carahue","Enfoque*Comunicación*Renovación","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*VIDA SUBMARINA*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","71610248-9","analópez@correo.com","Viaje en Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Comercial","Angol","Esperanza*Compartir*Esperanza","PAZ*VIDA DE ECOSISTEMAS TERRESTRES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","340979943-4","michaelroudergue@correo.com","Cambio climático y Enfrentando Desafíos en Necesidad","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Multinacional","Pitrufquén","Salud*Cooperación*Optimismo","REDUCCIÓN DE LAS DESIGUALDADES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*CIUDADES Y COMUNIDADES SOSTENIBLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","67489223-6","matiasvillagra@correo.com","Cambio climático y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Transnacional","Villarrica","Conexión*Cooperación*Sabiduría","ACCIÓN POR EL CLIMA*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","623209515-3","maríagarcía@correo.com","Armonía y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Mixta","Loncoche","Naturaleza*Cambio*Compasión","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*PRODUCCIÓN Y CONSUMO RESPONSABLES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","566905720-0","sofíarodríguez@correo.com","Trabajo en la Satisfacción de Requerimientos Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Transnacional","Purén","Riqueza*Abundancia*Integridad","CIUDADES Y COMUNIDADES SOSTENIBLES*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","61557201-3","analópez@correo.com","Libertad y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Sociedad Anónima","Temuco","Empoderamiento*Equipo*Esperanza","EDUCACIÓN DE CALIDAD*ALIANZAS PARA LOGRAR LOS OBJETIVOS*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","804277633-9","jorgegonzález@correo.com","Viaje en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Sin Fines de Lucro","Pucón","Tiempo*Comunidad*Esperanza","HAMBRE CERO*ALIANZAS PARA LOGRAR LOS OBJETIVOS*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","916528882-6","michaelroudergue@correo.com","Viaje en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Responsabilidad Limitada","Curacautín","Alegría*Humor*Aprendizaje","FIN DE LA POBREZA*ACCIÓN POR EL CLIMA*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","808935228-0","juanpérez@correo.com","Cambio climático y Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Religiosa","Nueva Imperial","Armonía*Motivación*Paz","EDUCACIÓN DE CALIDAD*VIDA SUBMARINA*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","218885756-6","matiasvillagra@correo.com","Libertad y Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Comercial","Perquenco","Pasión*Serenidad*Reflexión","INDUSTRIA*AGUA Y SANEAMIENTO*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","558821328-2","luismena@correo.com","Cambio climático y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Artesanal","Ercilla","Autoaceptación*Felicidad*Abundancia","AGUA Y SANEAMIENTO*VIDA DE ECOSISTEMAS TERRESTRES*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","304388353-5","jorgegonzález@correo.com","Viaje en Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Transnacional","Temuco","Amistad*Abundancia*Comunidad","EDUCACIÓN DE CALIDAD*FIN DE LA POBREZA*SALUD Y BIENESTAR","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","568853027-4","diegohernández@correo.com","Libertad y Satisfacción de Carencias Inaplazables","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Responsabilidad Limitada","Cunco","Intención*Compañerismo*Tolerancia","AGUA Y SANEAMIENTO*ACCIÓN POR EL CLIMA*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Matias Villagra","15536957-1","matiasvillagra@correo.com","Cambio climático y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Transnacional","Victoria","Honestidad*Curiosidad*Humildad","SALUD Y BIENESTAR*AGUA Y SANEAMIENTO*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","162767639-1","juanpérez@correo.com","Apoyo en Situaciones de Agua Escasa","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Regional","Lumaco","Autoamor*Naturaleza*Reflexión","FIN DE LA POBREZA*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*AGUA Y SANEAMIENTO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","267980573-2","michaelroudergue@correo.com","Cultura en Satisfacción de Demandas Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Mixta","Los Sauces","Crecimiento*Renovación*Creatividad","ACCIÓN POR EL CLIMA*VIDA SUBMARINA*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","747195055-5","juanpérez@correo.com","Educación para la Satisfacción de Demandas Básicas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Multinacional","Teodoro Schmidt","Libertad*Reflexión*Integridad","AGUA Y SANEAMIENTO*INDUSTRIA*IGUALDAD DE GÉNERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","688525481-8","luisgonzález@correo.com","Reflejo de la Naturaleza en Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Multinacional","Freire","Voluntariado*Confianza*Pasión","EDUCACIÓN DE CALIDAD*PAZ*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","655503211-4","andrésmartínez@correo.com","Reflejo de la Tecnología en Cobertura de Requisitos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Sociedad Anónima","Lautaro","Abundancia*Libertad*Valores","FIN DE LA POBREZA*VIDA DE ECOSISTEMAS TERRESTRES*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","417177016-7","diegohernández@correo.com","Reflejo de la Familia en Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Multinacional","Renaico","Desarrollo*Comunicación*Agua","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*FIN DE LA POBREZA*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","310182698-9","jorgegonzález@correo.com","Libertad y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Tecnológica","Saavedra","Oportunidad*Pasión*Cuidado","IGUALDAD DE GÉNERO*FIN DE LA POBREZA*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","377657256-8","jorgegonzález@correo.com","Exploración y Cuidado en Momentos Importantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Comercial","Nueva Imperial","Plenitud*Esperanza*Efecto","FIN DE LA POBREZA*EDUCACIÓN DE CALIDAD*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","262756919-7","luisgonzález@correo.com","Viaje en Satisfacción de Carencias Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Multinacional","Pitrufquén","Aventura*Esperanza*Humildad","ALIANZAS PARA LOGRAR LOS OBJETIVOS*AGUA Y SANEAMIENTO*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","678423838-6","luisgonzález@correo.com","Trabajo y Superando Situaciones Cotidianas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Desarrollo","Mixta","Nueva Imperial","Transformación*Esperanza*Desarrollo","SALUD Y BIENESTAR*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
